42,"00501",40.922326,-72.637078,"Holtsville",2018,9,155
22,"00544",40.922326,-72.637078,"Holtsville",2018,9,82
47,"06390",40.992288,-72.723496,"Fishers Island",2018,9,142
74,"10001",40.750422,-73.996328,"New York",2018,9,96
52,"10002",40.718758,-73.986427,"New York",2018,9,160
22,"10003",40.730223,-73.988564,"New York",2018,9,81
51,"10004",40.696355,-74.025276,"New York",2018,9,146
97,"10005",40.706903,-74.008654,"New York",2018,9,49
12,"10006",40.708834,-74.013168,"New York",2018,9,66
11,"10007",40.713941,-74.007401,"New York",2018,9,62
19,"10008",40.780751,-73.977182,"New York",2018,9,68
17,"10009",40.72775,-73.980396,"New York",2018,9,64
100,"10010",40.739024,-73.983542,"New York",2018,9,40
3,"10011",40.740916,-73.999769,"New York",2018,9,61
47,"10012",40.729124,-73.991582,"New York",2018,9,154
86,"10013",40.722105,-74.003497,"New York",2018,9,35
83,"10014",40.738088,-74.005095,"New York",2018,9,45
43,"10015",40.780751,-73.977182,"New York",2018,9,154
51,"10016",40.745527,-73.978449,"New York",2018,9,148
11,"10017",40.752955,-73.973196,"New York",2018,9,69
55,"10018",40.755332,-73.993172,"New York",2018,9,146
38,"10019",40.765926,-73.985443,"New York",2018,9,90
39,"10020",40.735449,-73.996788,"New York",2018,9,80
83,"10021",40.768823,-73.960257,"New York",2018,9,47
91,"10022",40.758775,-73.967842,"New York",2018,9,37
21,"10023",40.776765,-73.982213,"New York",2018,9,90
78,"10024",40.80813,-73.965653,"New York",2018,9,90
19,"10025",40.798664,-73.967778,"New York",2018,9,60
84,"10026",40.802918,-73.953107,"New York",2018,9,42
64,"10027",40.812242,-73.9532,"New York",2018,9,98
14,"10028",40.776629,-73.953914,"New York",2018,9,65
95,"10029",40.791884,-73.943517,"New York",2018,9,31
22,"10030",40.818474,-73.94329,"New York",2018,9,85
70,"10031",40.823438,-73.949039,"New York",2018,9,107
28,"10032",40.839137,-73.942181,"New York",2018,9,88
7,"10033",40.851293,-73.934764,"New York",2018,9,65
33,"10034",40.863194,-73.926959,"New York",2018,9,85
100,"10035",40.801913,-73.9347,"New York",2018,9,37
52,"10036",40.75953,-73.989847,"New York",2018,9,160
54,"10037",40.813884,-73.938498,"New York",2018,9,159
72,"10038",40.710223,-74.003368,"New York",2018,9,93
5,"10039",40.826736,-73.939398,"New York",2018,9,60
36,"10040",40.858692,-73.930999,"New York",2018,9,88
41,"10041",40.703801,-74.009814,"New York",2018,9,143
53,"10043",40.780751,-73.977182,"New York",2018,9,158
91,"10044",40.761812,-73.950521,"New York",2018,9,39
79,"10045",40.70859,-74.008687,"New York",2018,9,105
85,"10046",40.780751,-73.977182,"New York",2018,9,33
69,"10047",40.780751,-73.977182,"New York",2018,9,87
97,"10048",40.71254,-74.013289,"New York",2018,9,31
30,"10055",40.780751,-73.977182,"New York",2018,9,81
53,"10060",40.780751,-73.977182,"New York",2018,9,144
39,"10069",40.777952,-73.988381,"New York",2018,9,90
75,"10072",40.780751,-73.977182,"New York",2018,9,96
53,"10079",40.780751,-73.977182,"New York",2018,9,154
73,"10080",40.780751,-73.977182,"New York",2018,9,89
3,"10081",40.780751,-73.977182,"New York",2018,9,67
44,"10082",40.780751,-73.977182,"New York",2018,9,152
19,"10087",40.780751,-73.977182,"New York",2018,9,65
5,"10090",40.780751,-73.977182,"New York",2018,9,68
